@	0.30363636363636365
V	0.07909090909090909
^	0.06636363636363636
#	0.01818181818181818
L	0.03636363636363636
!	0.05909090909090909
~	0.14272727272727273
N	0.057272727272727274
,	0.014545454545454545
D	0.03
O	0.07272727272727272
A	0.035454545454545454
G	0.007272727272727273
S	0.0027272727272727275
P	0.019090909090909092
E	0.008181818181818182
R	0.03090909090909091
$	0.007272727272727273
X	0.0018181818181818182
U	0.0027272727272727275
&	0.0027272727272727275
M	0.0009090909090909091
Z	0.0009090909090909091
