~	@	0.4426391737737954
@	~	0.23401391886321202
~	O	0.05039763935370111
O	V	0.5802710925686385
V	O	0.12092612991659694
O	^	0.010029331924429303
^	,	0.24713317314266736
,	$	0.018467332707381656
$	R	0.018434027522260654
R	A	0.1558171201131216
A	@	0.01194824416911361
@	O	0.08852057518368535
V	A	0.05176869114370667
A	,	0.14444126142901478
,	@	0.07754591777526929
@	!	0.1236814665729043
!	,	0.29048151813761347
,	O	0.08756817774214307
V	V	0.15405544190361026
V	P	0.15985307150133757
P	O	0.12360596115870377
P	V	0.14775746210345367
V	T	0.03354756955084935
T	N	0.05076689060717454
N	&	0.03396855120755652
&	V	0.17349389552338382
V	D	0.15281309270409726
D	N	0.5571332423488942
N	,	0.2919110694976087
,	!	0.07279853147517117
!	R	0.02368862687723224
R	O	0.07333263505197832
P	N	0.1193439315802185
,	V	0.11657998290940931
V	N	0.06170748473981066
N	V	0.11107592322308814
N	N	0.1404501601813859
A	P	0.11340686098975866
V	R	0.06874746353705098
R	P	0.10606457356830502
P	$	0.03339300174743213
$	N	0.24288027080727062
,	&	0.026907130574222747
$	,	0.18400912502759587
,	R	0.050116574708035745
D	P	0.012161378975116379
P	,	0.025579280853542455
,	^	0.07701843040859171
^	^	0.23345836019457306
^	V	0.1221063119029479
P	^	0.13426103510491696
^	P	0.059592881283088164
P	D	0.23512906846240178
D	$	0.013096150610405878
N	#	0.004594314249258759
#	#	0.23315659566687996
#	$	0.013758113173050552
R	,	0.14141506716593785
,	A	0.03956682737448439
A	N	0.4416553271741985
,	N	0.0722710441084936
,	G	0.01793984534070409
G	N	0.0617231236360186
N	~	0.011019928583886394
~	U	0.06839037029040268
U	L	0.01633092118130256
L	N	0.032313254567757764
,	P	0.034291953707708704
D	D	0.008422292433958384
D	V	0.02711772513974836
,	D	0.04062180210783952
N	P	0.19323199221582718
R	V	0.23699232763361178
O	P	0.043733717138224416
R	&	0.007868758019324936
&	R	0.053405830942691315
R	R	0.08511613291785594
V	!	0.004973537962050373
!	@	0.04950729377339817
O	,	0.09292390096376324
,	L	0.05275401154142358
L	R	0.16466524630382853
R	D	0.039291418994998564
D	^	0.08413879489240779
^	N	0.11331536072203013
!	E	0.025840182451912733
E	@	0.14973337075498175
@	E	0.008499236159945682
E	!	0.04682383759004584
@	A	0.020623681466572907
N	A	0.014691708203673614
A	!	0.016722767313614554
!	P	0.03229484917595422
O	D	0.02096048388566015
